奥代尔针织布,针织面料>>其他针织面料>>奥代尔针织
安娜丝,针织面料>>粗针
富丽绉,化纤面料>>其他尼龙面料>>富春纺
富贵纺,化纤面料>>其他尼龙面料
小兔毛,皮革/皮草>>皮毛
尼丝纺亮光膜,化纤面料>>羽绒服、棉服面料>>尼丝纺
尼龙亮光布,化纤面料>>其他尼龙面料
尼龙四面弹,化纤面料>>四面弹
尼龙布,化纤面料>>春亚纺 化纤面料>>四面弹 化纤面料>>羽绒服、棉服面料类 化纤面料>>桃皮绒 化纤面料>>牛津纺 化纤面料>>其他尼龙面料
尼龙弹力布,化纤面料>>四面弹
尼龙牛津布,化纤面料>>牛津纺>>牛津布
尼龙防晒面料,化纤面料>>功能布>>防晒
巴厘纱,棉类面料>>衬衫布
巴黎珠,化纤面料>>雪纺
巴黎麻,化纤面料>>雪纺
平纹仿天丝,棉类面料>>其他棉纺>>仿天丝
平纹仿记忆,化纤面料>>羽绒服、棉服面料>>仿记忆
平纹呢,化纤面料>>工装面料>>罗尔呢
平纹记忆布,化纤面料面料>>羽绒服、棉服面料
平绒,呢料毛纺面料>>绒布
幻灯丝,针织面料>>其他针织面料>>金银丝
弹力斜纹,棉类面料>>弹力布
弹力棉布,棉类面料>>弹力布
弹力牛仔布,针织面料>>针织牛仔 棉类面料>>牛仔布
弹力牛津布,化纤面料>>牛津纺>>牛津布
弹力纱卡,棉类面料>>纱卡
弹力细斜,棉类面料>>弹力布 棉类面料>>斜纹布
弹力缎纹印花布,棉类面料>>缎纹 棉类面料>>梭织印花
弹力贡缎,棉类面料>>弹力布 棉类面料>>缎纹>>贡缎
弹力雪纺,化纤面料>>雪纺
意大利绒,呢料毛纺面料>>绒布>>短毛绒 呢料毛纺面料>>绒布>>天鹅绒
意大利绒,呢料毛纺面料>>绒布>>短毛绒 呢料毛纺面料>>绒布>>天鹅绒
扎染面料,针织面料>>汗布 棉类面料>>其他棉纺 麻类面料>>其他麻纺面料
扎染面料,针织面料>>汗布 棉类面料>>其他棉纺 麻类面料>>其他麻纺面料
打孔绣,加工服务>>冲孔 加工服务>>激光冲孔
打孔绣,加工服务>>冲孔 加工服务>>激光冲孔
打底裤系列,针织面料>>其他针织面料>>打底裤面料
抓毛布,棉类面料>>其他棉纺>>磨毛布 针织面料>>拉毛布
抓毛布,棉类面料>>其他棉纺>>磨毛布 针织面料>>拉毛布
拉架罗纹,针织面料>>罗纹
拉绒布,针织面料>>拉毛布
提花呢料,呢料毛纺面料>>粗纺>>粗纺提花 呢料毛纺面料>>其他呢料
提花棉绸,化纤面料>>其他粘胶(人棉)面料
提花棉麻,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力
提花毛呢,呢料毛纺面料>>其他毛呢面料
提花毛呢,呢料毛纺面料>>其他毛呢面料
提花牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
提花罗马布,针织面料>>双面布>>罗马布
提花麻布,麻类面料>>其他麻纺面料
斜纹仿天丝,棉类面料>>其他棉纺>>仿天丝
斜纹印花布,棉类面料>>斜纹布 棉类面料>>梭织印花
斜纹泡泡布,针织面料>>针织提花>>泡泡布 棉类面料>>其他棉纺>>泡泡布
斜纹牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
新奥呢,呢料毛纺面料>>圈圈呢 呢料毛纺面料>>羊绒
方格毛呢,呢料毛纺面料>>格子呢
无弹力牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
时装料,呢料毛纺面料>>针织毛呢>>时装呢
时装面料,呢料毛纺面料>>针织毛呢>>时装呢
春秋丁,化纤面料>>牛津纺 化纤面料>>其他涤纶面料
有光布,针织面料>>其他针织面料>>亮光布
有光锦棉,化纤面料>>其他化纤面料
朝阳格,棉类面料>>格子布 棉类面料>>衬衫布
条绒,棉类面料>>灯芯绒
极品绒,无
树皮皱,棉类面料>>绉布>>绉布
格子里布,化纤面料>>塔丝绒 化纤面料>>其他化纤面料>>美丽绸 化纤面料>>其他涤纶面料>>长丝
梭织乱纹,棉类面料>>其他棉纺
梭织人丝,化纤面料>>人丝乔其
梭织仿天丝,棉类面料>>其他棉纺>>仿天丝
梭织铜氨丝,化纤面料>>人丝乔其
棉感记忆布,化纤面料面料>>羽绒服、棉服面料
棉盖丝,针织面料>>其他针织面料>>运动系列 针织面料>>其他针织面料>>校服系列
棉花绒,呢料毛纺面料>>绒布>>羊羔绒
棉麻印花,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力 麻类面料>>其他麻纺面料>>麻布印花
棉麻布,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力
棉麻水洗布,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力
棉麻竹节,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力
棉麻粗纺,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力
棉麻针织布,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力
植绒革,皮革/皮革>>皮革>>植绒皮革
横纹布,针织面料>>针织提花>>坑条布 针织面料>>粗针>>粗针抽条 棉类面料>>灯芯绒
欧丽丝,丝绸/真丝面料>>欧根纱
欧根纱提花,丝绸/真丝面料>>欧根纱
欧根纱条子,丝绸/真丝面料>>欧根纱
欧根纱格子,丝绸/真丝面料>>欧根纱
欧根纱烧花,丝绸/真丝面料>>欧根纱
欧根纱绣花,丝绸/真丝面料>>欧根纱
欧根纱绣花,丝绸/真丝面料>>欧根纱
毛呢,呢料毛纺面料>>顺毛呢 呢料毛纺面料>>凤凰呢 呢料毛纺面料>>龙凤呢 呢料毛纺面料>>圈圈呢 呢料毛纺面料>>印花呢料 呢料毛纺面料>>针织毛呢 呢料毛纺面料>>其他毛呢
毛料,呢料毛纺面料>>双面呢 呢料毛纺面料>>单面呢 呢料毛纺面料>>羊绒 呢料毛纺面料>>其他全毛面料 呢料毛纺面料>>顺毛呢 呢料毛纺面料>>凤凰呢 呢料毛纺面料>>龙凤呢 呢料毛纺面料>>圈圈呢 呢料毛纺面料>>印花呢料 呢料毛纺面料>>针织毛呢 呢料毛纺面料>>其他毛呢面料 呢料毛纺面料>>其他毛纺面料
毛皮提花,皮革/皮草>>皮毛
毛纺,呢料毛纺面料>>双面呢 呢料毛纺面料>>单面呢 呢料毛纺面料>>羊绒 呢料毛纺面料>>其他全毛面料 呢料毛纺面料>>顺毛呢 呢料毛纺面料>>凤凰呢 呢料毛纺面料>>龙凤呢 呢料毛纺面料>>圈圈呢 呢料毛纺面料>>印花呢料 呢料毛纺面料>>针织毛呢 呢料毛纺面料>>其他毛呢面料 呢料毛纺面料>>其他毛纺面料
毛绒,呢料毛纺面料>>双面呢 呢料毛纺面料>>单面呢 呢料毛纺面料>>羊绒 呢料毛纺面料>>其他全毛面料 呢料毛纺面料>>顺毛呢 呢料毛纺面料>>凤凰呢 呢料毛纺面料>>龙凤呢 呢料毛纺面料>>圈圈呢 呢料毛纺面料>>印花呢料 呢料毛纺面料>>针织毛呢 呢料毛纺面料>>绒布 呢料毛纺面料>>其他毛呢面料 呢料毛纺面料>>其他毛纺面料
毛绒复合,呢料毛纺面料>>绒布 呢料毛纺面料>>其他毛纺面料
民族布,棉类面料>>梭织提花
水晶绒,呢料毛纺面料>>绒布>>水晶超柔
水晶麻,化纤面料>>雪纺>>韩国麻
水波纹,呢料毛纺面料>>绒布>>仿羊绒 呢料毛纺面料>>其他毛纺面料>>马海毛
水洗牛仔布,针织面料>>针织牛仔 棉类面料>>牛仔布
水貂毛,皮革/皮草>>皮毛
沙丁布,化纤面料>>色丁
油光布,化纤面料>>羽绒服、棉服面料
法国绒,呢料毛纺面料>>绒布>>金丝绒
法国羊绒,呢料毛纺面料>>羊绒
泡泡纱,棉类面料>>其他棉纺>>棉泡纱 棉类面料>>其他棉纺>>泡泡布
泡泡纱印花,棉类面料>>其他棉纺>>棉泡纱 棉类面料>>其他棉纺>>泡泡布
泡泡麻,化纤面料>>雪纺
波比,针织面料>>其他针织面料>>牛奶丝
洋呢,呢料毛纺面料>>羊绒
洗水棉,辅料>>纺织填充物
洗水绉,棉类面料>>绉布
海岛绒,呢料毛纺面料>>绒布>>银狐绒
涂层春亚纺,化纤面料>>春亚纺 化纤面料>>其他涤纶面料
涤棉布,化纤面料>>其他涤纶面料
涤棉水洗布,化纤面料>>水洗绒 化纤面料>>其他涤纶面料
涤棉纱卡,棉类面料>>纱卡
