圆网印花>>加工服务,加工服务>>印花
圈圈呢>>针织类,尼料毛纺面料>>圈圈呢
地毯>>其他面料,其他面料>>地毯
坑条布>>针织类,针织面料>>针织提花
垫肩>>辅料,辅料>>肩垫
塑料>>辅料,辅料>>钮扣
塔丝绒>>梭织类,化纤面料>>塔丝绒
塔丝隆>>梭织类,化纤面料>>塔丝绒
塔仕伦>>梭织类,化纤面料>>其他化纤面料
填充物>>辅料,辅料>>纺织填充物
墙布>>其他面料,其他面料>>墙布
墙纸>>其他面料,其他面料>>墙布
复合丝雪纺>>梭织类,化纤面料>>雪纺 
复合加工>>加工服务,加工服务>>复合加工
复合皮毛>>皮革皮草,皮革皮草>>人造毛
多丽丝>>梭织类,化纤面料>>雪纺 
多丽丝>>针织类,化纤面料>>雪纺 
多彩呢>>梭织类,尼料毛纺面料>>其他呢料
大众呢>>梭织类,尼料毛纺面料>>其他呢料
大方网>>针织类,针织面料>>网布
大肚纱>>针织类,针织面料>>粗针
大衣呢>>梭织类,尼料毛纺面料>>其他呢料
大象皮>>针织类,针织面料>>针织提花
天丝棉>>针织类,针织面料>>其他针织面料
天丝棉>>梭织类,针织面料>>其他针织面料
天鹅绒>>针织类,尼料毛纺面料>>绒布
天鹅绒>>梭织类,尼料毛纺面料>>绒布
太子呢>>梭织类,尼料毛纺面料>>其他呢料
太空层>>针织类,针织面料>>空气层
太空棉>>针织类,针织面料>>空气层
夹丝棉>>针织类,针织面料>>其他针织面料
奥丽纱>>梭织类,化纤面料>>雪纺 
奥代尔汗布>>针织类,针织面料>>汗布
奥羊绒>>针织类,尼料毛纺面料>>绒布
女式呢>>梭织类,尼料毛纺面料>>其他呢料
婴乐绒>>针织类,尼料毛纺面料>>绒布
学生呢>>梭织类,尼料毛纺面料>>其他呢料
定型>>加工服务,加工服务>>定型
宝莱呢>>梭织类,尼料毛纺面料>>其他毛呢面料
宝顺呢>>梭织类,尼料毛纺面料>>其他毛呢面料
家纺>>其他面料,其他面料>>家纺
密丝绒>>针织类,尼料毛纺面料>>绒布
富春纺>>梭织类,化纤面料>>其他尼龙面料
富贵麻>>针织类,麻类面料>>其他麻纺面料
富贵麻>>梭织类,麻类面料>>其他麻纺面料
尼丝纺>>梭织类,化纤面料>>羽绒服、棉服面料
尼龙皱>>梭织类,化纤面料>>羽绒服、棉服面料
嵌条>>辅料,辅料>>肩垫
工程布>>其他面料,其他面料>>工程布
工程窗帘布>>其他面料,其他面料>>窗帘面料
工程窗纱>>其他面料,其他面料>>窗纱
布衬>>辅料,辅料>>衬布
帆布>>梭织类,棉类面料>>其他棉纺
平板布>>针织类,针织面料>>平板布
平纹布>>梭织类,棉类面料>>平纹布
平纹格>>梭织类,棉类面料>>格子布
