经编布,针织面料>>其他针织面料>>其他经编布 针织面料>>汗布>>经编汗布
剪花麻棉,麻类面料>>麻料混纺 棉类面料>>其他棉纺>>剪花布
苎麻棉,麻类面料>>苎麻布 麻类面料>>麻料混纺
里布,化纤面料>>塔丝绒 化纤面料>>其他化纤面料>>美丽绸 化纤面料>>其他涤纶面料>>长丝
丽丝绒,呢料毛纺面料>>绒布>>金丝绒
圈绒,呢料毛纺面料>>绒布>>气蒸绒 呢料毛纺面料>>绒布>>泰迪绒 呢料毛纺面料>>绒布>>仿羊绒 呢料毛纺面料>>绒布>>奥羊绒
亮光尼丝纺,化纤面料>>羽绒服、棉服面料>>尼丝纺
绣花毛呢,呢料毛纺面料>>其他毛呢面料 呢料毛纺面料>>其他呢料
印花毛呢,呢料毛纺面料>>其他毛呢面料 呢料毛纺面料>>其他呢料
尼龙防晒面料,化纤面料>>功能布>>防晒
真记忆布,化纤面料>>羽绒服、棉服面料
真丝,丝绸/真丝面料>>真丝面料
针织印花,针织面料>>其他针织面料>>针织印花布
卫衣,针织面料>>卫衣布
针织纬编布,针织面料>>其他针织面料
T400系列,化纤面料>>羽绒服、棉服面料
乱麻布,针织面料>>其他针织面料>>针织乱麻 化纤面料>>雪纺>>乱麻
梭织人丝,化纤面料>>人丝乔其
高密斜,棉类面料>>斜纹布
高密斜仿天丝,棉类面料>>其他棉纺>>仿天丝
平纹仿天丝,棉类面料>>其他棉纺>>仿天丝
双经斜,棉类面料>>斜纹布
梭织仿天丝,棉类面料>>其他棉纺>>仿天丝
斜纹仿天丝,棉类面料>>其他棉纺>>仿天丝
色丁提花布,丝绸/真丝面料>>色丁>>色丁 化纤面料>>色丁>>色丁
防静电面料,其他面料>>特种面料>>抗静电布
针织经编布,针织面料>>其他针织面料>>其他经编布
皮草,皮革/皮革>>鹿皮绒 皮革/皮革>>麂皮绒 皮革/皮革>>仿皮绒 皮革/皮革>>真皮 皮革/皮革>>皮绒 皮革/皮革>>皮毛 皮革/皮革>>水洗皮 皮革/皮革>>仿皮 皮革/皮革>>人造毛
牛奶丝印花,针织面料>>其他针织面料>>牛奶丝
经编里布,化纤面料>>塔丝绒 化纤面料>>其他化纤面料>>美丽绸 化纤面料>>其他涤纶面料>>长丝
针织里布,化纤面料>>塔丝绒 化纤面料>>其他化纤面料>>美丽绸 化纤面料>>其他涤纶面料>>长丝
绣花布,加工服务>>绣花 蕾丝面料>>蕾丝绣花
水洗牛仔布,针织面料>>针织牛仔 棉类面料>>牛仔布
呢绒,呢料毛纺面料>>双面呢 呢料毛纺面料>>单面呢 呢料毛纺面料>>羊绒 呢料毛纺面料>>其他全毛面料 呢料毛纺面料>>顺毛呢 呢料毛纺面料>>凤凰呢 呢料毛纺面料>>龙凤呢 呢料毛纺面料>>圈圈呢 呢料毛纺面料>>印花呢料 呢料毛纺面料>>针织毛呢 呢料毛纺面料>>绒布 呢料毛纺面料>>其他毛呢面料 呢料毛纺面料>>其他毛纺面料
双层布,麻类面料>>其他麻纺面料>>双层麻 针织面料>>空气层>>健康布
时装面料,呢料毛纺面料>>针织毛呢>>时装呢
加捻记忆布,化纤面料>>羽绒服、棉服面料
