经编布,针织面料>>其他针织面料>>其他经编布 针织面料>>汗布>>经编汗布
无纺布，无纺衬,其他面料>>无纺布 辅料>>衬布>>无纺衬
倒比例,棉类面料>>衬衫布 针织面料>>其他针织面料>>天丝棉 棉类面料>>工装面料
防晒衣,化纤面料>>功能布>>防晒
尼龙,化纤面料>>春亚纺 化纤面料>>四面弹 化纤面料>>羽绒服、棉服面料类 化纤面料>>桃皮绒 化纤面料>>牛津纺 化纤面料>>其他尼龙面料
仿记忆，,化纤面料>>羽绒服、棉服面料>>仿记忆
刮色、洗退,加工服务>>水洗 加工服务>>服装加工
涂蜡、皮膜,加工服务>>涂层
抗紫外线辐射,化纤面料>>功能布>>防晒
复合,加工服务>>复合加工
针织乱纹,针织面料>>其他针织面料
富贵格,棉类面料>>梭织提花 化纤面料>>其他化纤面料 麻类面料>>其他麻纺面料>>富贵麻
水洗棉,加工服务>>水洗 加工服务>>服务加工
 塞棉,辅料>>纺织填充物
绒,呢料毛纺面料>>绒布
罗纹，横机,针织面料>>罗纹>>罗纹 针织面料>>罗纹>>横机罗纹
弹力牛仔布,针织面料>>针织牛仔 棉类面料>>牛仔布
全棉牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
印花，烫金,加工服务>>烫金 加工服务>>印花
烫金，洒金,加工服务>>烫金
TR面料,化纤面料>>色丁 化纤面料>>弹力绉 化纤面料>>醋酸面料 化纤面料>>条子布 化纤面料>>人丝乔其 化纤面料>>人棉印花 化纤面料>>其他粘胶(人棉)面料
喷胶棉,辅料>>纺织填充物
抓毛布,棉类面料>>其他棉纺>>磨毛布 针织面料>>拉毛布
梭织铜氨丝,化纤面料>>人丝乔其
金钻绒,呢料毛纺面料>>绒布>>钻石绒
全涤印花.全棉,棉类面料>>梭织印花 化纤面料>>其他涤纶面料
龙凤呢，羊羔绒,呢料毛纺面料>>龙凤呢 呢料毛纺面料>>绒布>>羊羔绒
凤凰呢，仿羊绒,呢料毛纺面料>>绒布>>仿羊绒 呢料毛纺面料>>凤凰呢
马海绒，韩圈呢,呢料毛纺面料>>其他毛纺面料>>马海毛 呢料毛纺面料>>圈圈呢
涤棉平纹,化纤面料>>其他涤纶面料
医用布,其他面料>>窗帘面料>>医用隔帘布 其他面料>>无纺布
袖里布，色织布,化纤面料>>塔丝绒 化纤面料>>其他化纤面料>>美丽绸 化纤面料>>其他涤纶面料>>长丝 针织面料>>色织布
阳离子，提花布,化纤面料>>其他涤纶面料
斜纹桃皮绒,化纤面料>>桃皮绒
速干面料,针织面料>>弹力布>>阳离子拉架
防水面料,化纤面料>>功能布>>防水布
条纹纱,蕾丝/绣品>>网纱 其他面料>>窗帘面料 其他面料>>窗纱
锦棉罗缎,化纤面料>>其他尼龙面料
棉麻,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力
平纹仿记忆,化纤面料>>羽绒服、棉服面料>>仿记忆
箱包花瑶,化纤面料>>其他涤纶面料
天丝皱,化纤面料>>其他粘胶(人棉)面料
轻盈,化纤面料>>其他化纤面料>>仿真丝
提花遮光布,其他面料>>窗帘面料>>遮光布 其他面料>>窗帘面料>>半遮光
防水涂层牛津布,化纤面料>>牛津纺>>牛津布 化纤面料>>功能布>>防水布
涤棉,化纤面料>>其他涤纶面料 棉类面料>>棉类混纺
帆布，纱卡,棉类面料>>纱卡 棉类面料>>其他棉纺>>帆布
热转印烫画,加工服务>>印花>>水浆印花 加工服务>>印花>>烫画
全棉,棉类面料>>棉布
人棉,化纤面料>>其他粘胶(人棉)面料
磨毛斜纹布,针织面料>>拉毛布 棉类面料>>斜纹布
乱麻系列,化纤面料>>雪纺>>乱麻
麻棉,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力
仿羊絨,呢料毛纺面料>>绒布>>仿羊绒
罗文袖口,针织面料>>罗纹>>罗纹 针织面料>>罗纹>>横机罗纹
珠花领,辅料>>服装饰品>>领花 蕾丝/绣品>>绣品>>领花
螺纹下摆,针织面料>>罗纹>>罗纹 针织面料>>罗纹>>横机罗纹
天丝竹节,化纤面料>>其他粘胶(人棉)面料
斜纹四面弹,化纤面料>>四面弹
泡泡沙,棉类面料>>其他棉纺>>棉泡纱 棉类面料>>其他棉纺>>泡泡布
冰丝,针织面料>>弹力布>>莱卡布 化纤面料>>弹力布
超柔pu皮革,皮革/皮草>>PU 皮革/皮草>>皮革>>超柔皮
羽绒服,化纤面料>>羽绒服、棉服面料类
箱包料,其他面料>>箱包、鞋材料>>箱包材料
，防绒内胆布,化纤面料>>其他棉纺>>防绒内胆布
箱包网,其他面料>>箱包、鞋材料>>箱包材料 针织面料>>网布
锦安弹力网.,蕾丝/绣品>>网布 针织面料>>网布
蕾丝面,蕾丝/绣品>>普通蕾丝
广州针织、条纹,针织面料>>色织布
罗马系列,针织面料>>双面布>>罗马布
麻棉系列,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力
口袋色织布,棉类面料>>条子布 棉类面料>>格子布 棉类面料>>衬衫布 化纤面料>>条子布 针织面料>>色织布
印花布,针织面料>>其他针织面料>>针织印花布 棉类面料>>梭织印花 麻类面料>>其他麻纺面料>>麻布印花
人造棉胚布,化纤面料>>其他粘胶(人棉)面料
弹力灯芯绒,棉类面料>>灯芯绒
 灯芯绒印花,棉类面料>>灯芯绒
人棉灯芯绒,棉类面料>>灯芯绒
TC布,化纤面料>>其他涤纶面料 棉类面料>>棉类混纺
千鸟格呢,呢料毛纺面料>>格子呢
双面提花布,针织面料>>双面布>>双面布 针织面料>>其他针织面料>>针织提花布
扁平丝,呢料毛纺面料>>绒布
金布,针织面料>>其他针织面料>>烫金布
幻彩布,针织面料>>其他针织面料>>烫金布 其他面料>>物种面料>>镭射面料
镭射布,其他面料>>物种面料>>镭射面料
色拉姆,化纤面料>>功能布 化纤面料>>其他化纤面料
锦纶网布,化纤面料>>其他尼龙面料>>其他尼龙面料 针织面料>>网布 锦纶网布
涤纶网布,化纤面料>>其他涤纶面料>>其他涤纶面料 针织面料>>网布 蕾丝/绣品>>网布
氨纶网布,针织面料>>网布 蕾丝/绣品>>网布
大小珠片,蕾丝/绣品>>珠片绣 蕾丝/绣品>>网布>>网布珠片绣 辅料>>亮片 加工服务>>珠片绣
幻真丝,丝绸/真丝面料>>真丝面料
天丝麻,化纤面料>>其他粘胶(人棉)面料 麻类面料>>麻料混纺
芦荟棉,化纤面料>>其他涤纶面料 其他面料>>家纺
长绒棉,针织面料>>其他针织面料>>丝光棉
磨毛,棉类面料>>其他棉纺>>磨毛布 针织面料>>拉毛布>>磨毛布
条纹,棉类面料>>条子布 棉类面料>>衬衫布 化纤面料>>条子布 针织面料>>色织布
羊驼呢,呢料毛纺面料>>其他全毛面料>>羊驼毛
麻莎,化纤面料>>其他涤纶面料 其他面料>>窗纱
沙滩布,化纤面料>>桃皮绒 化纤面料>>塔丝绒>>塔丝隆
格子绒,呢料毛纺面料>>绒布 呢料毛纺面料>>格子呢
皮袢,辅料>>钮扣>>皮袢
皮拉头,辅料>>拉链头
纬编毛绒,呢料毛纺面料>>绒布
蚊帐布,针织面料>>网布 蕾丝/绣品>>网布 蕾丝/绣品>>网纱
氨编网布,针织面料>>网布 蕾丝/绣品>>网布 蕾丝/绣品>>网纱
床垫布,其他面料>>家纺
枕头布,其他面料>>家纺
记忆布,化纤面料面料>>羽绒服、棉服面料
锦棉布,化纤面料>>羽绒服、棉服面料
竹节呢,呢料毛纺面料>>其他呢料
短毛绒印花,呢料毛纺面料>>绒布>>短毛绒
高经密（机织布,无
网布刺绣花边,蕾丝/绣品>>花边 蕾丝/绣品>>网布
小提花,棉类面料>>梭织提花
 桃皮绒 ,化纤面料>>桃皮绒
春亚纺 ,化纤面料>>春亚纺
阻然,化纤面料>>功能布
涂银,化纤面料>>其他化纤面料>>涂层布 棉类面料>>其他棉纺>>涂层布 其他面料>>物种面料>>涂层面料 加工服务>>涂层
帐蓬布,其他面料>>篷布
尼龙塔丝隆,化纤面料>>塔丝绒>>塔丝隆
细旦涤塔夫,化纤面料>>羽绒服、棉服面料
双层呢,呢料毛纺面料>>其他呢料
鞋材,其他面料>>箱包、鞋材料>>鞋材料
箱包,其他面料>>箱包、鞋材料>>箱包材料
窗帘多色绣,其他面料>>窗帘面料>>绣花窗帘布
呢料绣花,呢料毛纺面料>>其他呢料>>绣花呢
男装靓仔男童,无
缎染,加工服务>>印染
扎染，,加工服务>>印染
床上用品，,其他面料>>家纺
植物羊绒,其他面料>>家纺
天丝莫代尔类,针织面料>>汗布>>莫代尔汗布 针织面料>>其他针织面料>>天丝棉 棉类面料>>其他棉纺>>仿天丝
加捻罗马布,针织面料>>双面布>>罗马布
纳米丝色织布,
细皱,棉类面料>>工装面料
仿棉汗布,针织面料>>汗布
各种后加工面料,针织面料>>其他针织面料>>烫金布 针织面料>>其他针织面料>>烫银布 针织面料>>其他针织面料>>珠片绣 棉类面料>>其他棉纺>>涂层布 棉类面料>>其他棉纺>>烂花 化纤面料>>功能布>>防晒 化纤面料>>功能布>>防水布 化纤面料>>其他化纤面料>>反光布 化纤面料>>其他化纤面料>>涂层布 皮革/皮草>>皮革>>皮革烫金 皮革/皮草>>皮革>>压花皮革 皮革/皮草>>皮革>>皮革冲孔 皮革/皮草>>水洗皮 其他面料>>特种面料>>涂层布 其他面料>>特种面料>>镭射面料 其他面料>>特种面料>>透明膜 蕾丝/绣品>>普通蕾丝>>烫金蕾丝
富丽绉,化纤面料>>其他尼龙面料>>富春纺
提花罗马布,针织面料>>双面布>>罗马布
棉盖丝,针织面料>>其他针织面料>>运动系列 针织面料>>其他针织面料>>校服系列
贾卡,蕾丝/绣品>>普通蕾丝 蕾丝/绣品>>锦棉蕾丝 蕾丝/绣品>>股线蕾丝 蕾丝/绣品>>睫毛蕾丝 蕾丝/绣品>>锦氨蕾丝 蕾丝/绣品>>流苏蕾丝 蕾丝/绣品>>网布 蕾丝/绣品>>蕾丝绣花
仿天丝牛仔,棉类面料>>其他棉纺>>仿天丝 针织面料>>针织牛仔
牛仔布印花,针织面料>>针织牛仔 棉类面料>>牛仔布
丝光面料,针织面料>>其他针织面料>>丝光棉
洗水棉,辅料>>纺织填充物
各类针织面料,针织面料>>罗纹 针织面料>>双面布 针织面料>>汗布 针织面料>>网布 针织面料>>珠地 针织面料>>针织牛仔 针织面料>>针织提花 针织面料>>拉毛布 针织面料>>粗针 针织面料>>平板布 针织面料>>空气层 针织面料>>三明治 针织面料>>卫衣布 针织面料>>其他针织面料 针织面料>>弹力布 针织面料>>彩棉针织 针织面料>>色织布
梭织乱纹,棉类面料>>其他棉纺
毛呢印花,呢料毛纺面料>>其他毛呢面料 呢料毛纺面料>>其他呢料
羊绒呢料,呢料毛纺面料>>羊绒
针织,针织面料>>罗纹 针织面料>>双面布 针织面料>>汗布 针织面料>>网布 针织面料>>珠地 针织面料>>针织牛仔 针织面料>>针织提花 针织面料>>拉毛布 针织面料>>粗针 针织面料>>平板布 针织面料>>空气层 针织面料>>三明治 针织面料>>卫衣布 针织面料>>其他针织面料 针织面料>>弹力布 针织面料>>彩棉针织 针织面料>>色织布
金奥呢,呢料毛纺面料>>粗纺>>粗纺呢料
磨毛印花布,针织面料>>拉毛布>>磨毛布 针织面料>>其他针织面料>>针织印花布
贡缎印花,棉类面料>>缎纹>>贡缎
轻盈纺,化纤面料>>其他化纤面料>>仿真丝
纸牌,辅料>>吊粒、吊牌>>吊牌
领标,辅料>>洗唛、商标
吊粒,辅料>>吊粒、吊牌
75D肤感,化纤面料面料>>羽绒服、棉服面料
全棉洗水休闲布,棉类面料>>牛仔布
素绉缎,化纤面料>>人丝乔其 化纤面料>>其他粘胶(人棉)面料
雪花绒（桃皮绒,化纤面料>>绒布>>雪花绒 化纤面料>>桃皮绒
拉架罗纹,针织面料>>罗纹
欧根纱格子,丝绸/真丝面料>>欧根纱
拉毛,棉类面料>>其他棉纺>>磨毛布 针织面料>>拉毛布>>磨毛布
洗水绉,棉类面料>>绉布
经编毛绒,呢料毛纺面料>>绒布
棉感记忆布,化纤面料面料>>羽绒服、棉服面料
烧花，提花，剪,针织面料>>其他针织面料>>针织烧花 针织面料>>针织提花 针织面料>>其他针织面料>>针织剪花 棉类面料>>梭织提花 棉类面料>>缎纹>>缎面提花 棉类面料>>其他棉纺>>剪花布 呢料毛纺面料>>粗纺 蕾丝/绣品>>普通蕾丝>>烧花蕾丝 蕾丝/绣品>>网布>>网布提花 其他面料>>窗帘面料>>提花窗帘 加工服务>>烧花
平绒布,呢料毛纺面料>>绒布
粗斜,棉类面料>>斜纹布
仿真皮毛,皮革/皮草>>仿皮
高丝宝,化纤面料>>其他化纤面料>>仿真丝
针织韩国麻,化纤面料>>雪纺>>韩国麻
半光涤纶春亚纺,化纤面料>>春亚纺 化纤面料>>其他涤纶面料
涂层春亚纺,化纤面料>>春亚纺 化纤面料>>其他涤纶面料
薄料牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
剪花牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
无弹力牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
特殊针织布,无
方格毛呢,呢料毛纺面料>>格子呢
记忆消光布,化纤面料>>羽绒服、棉服面料
工艺面料,针织面料>>其他针织面料>>烫金布 针织面料>>其他针织面料>>烫银布 针织面料>>其他针织面料>>珠片绣 棉类面料>>其他棉纺>>涂层布 棉类面料>>其他棉纺>>烂花 化纤面料>>功能布>>防晒 化纤面料>>功能布>>防水布 化纤面料>>其他化纤面料>>反光布 化纤面料>>其他化纤面料>>涂层布 皮革/皮草>>皮革>>皮革烫金 皮革/皮草>>皮革>>压花皮革 皮革/皮草>>皮革>>皮革冲孔 皮革/皮草>>水洗皮 其他面料>>特种面料>>涂层布 其他面料>>特种面料>>镭射面料 其他面料>>特种面料>>透明膜 蕾丝/绣品>>普通蕾丝>>烫金蕾丝
三明治 ,针织面料>>三明治
弹力网,针织面料>>网布 蕾丝/绣品>>网布
棉麻粗纺,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力
棉麻水洗布,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力
仿麻,化纤面料>>仿麻布
牛奶丝网布,针织面料>>网布 针织面料>>珠地 蕾丝/绣品>>网布
多色绣花,蕾丝/绣品>>花边 蕾丝/绣品>>蕾丝绣花
绣花花边,蕾丝/绣品>>花边
铜氨人丝,丝绸/真丝面料>>顺纡绉 化纤面料>>人丝乔其
锦棉单孔丝,化纤面料>>仿麻布
超柔银狐绒,呢料毛纺面料>>绒布>>超柔、银狐绒
沙发面料,其他面料>>家纺>>沙发布
割绒面料,其他面料>>地毯>>割绒
双层棉,棉类面料>>棉布 棉类面料>>其他棉纺
记忆布，棉布,棉类面料>>棉类混纺 化纤面料>>其他化纤面料>>风衣布 化纤面料面料>>羽绒服、棉服面料
罗缎，贡缎,棉类面料>>其他棉纺>>罗缎 棉类面料>>缎纹>>贡缎
胆布,化纤面料>>羽绒服、棉服面料>>涤塔夫
交织棉，春亚纺,化纤面料>>春亚纺 棉类面料>>棉类混纺
新奥呢,呢料毛纺面料>>圈圈呢 呢料毛纺面料>>羊绒
涤棉，全棉,棉类面料>>棉布 棉类面料>>棉类混纺
提花麻布,麻类面料>>其他麻纺面料
鸡眼，四合扣,辅料>>钮扣>>四合扣 辅料>>服装饰品>>气眼
圈环五金,辅料>>服装饰品>>金属环
制服呢，华达呢,呢料毛纺面料>>华达呢
罗尔呢，平纹,棉类面料>>工装面料>>罗尔呢
绳子，木扣,辅料>>钮扣 辅料>>绳子类
木珠，木珠提手,辅料>>服装饰品
线绳，手提袋绳,辅料>>服装饰品
刺绣，织带,辅料>>织带 加工服务>>绣花 加工服务>>珠片绣 加工服务>>毛巾绣 加工服务>>盘带绣
拉头，拉链，线,辅料>>拉链 辅料>>拉链头 辅料>>绳子类 辅料>>线类
男包五金,辅料>>服装饰品
等各种辅料！,无
鞋扣，鞋花,辅料>>钮扣 辅料>>服装饰品
帽钉,辅料>>其他纺织辅料
松紧带，尼龙带,辅料>>松紧带 辅料>>其他带子类
棉带，pp带,辅料>>织带 辅料>>其他带子 辅料>>绳子类
线，粘扣,辅料>>线类 辅料>>绳子类 辅料>>魔术贴
丝绸， 化纤,化纤面料>>春亚纺 化纤面料>>四面弹 化纤面料>>羽绒服、棉服面料类 化纤面料>>桃皮绒 化纤面料>>牛津纺 化纤面料>>塔丝绒 化纤面料>>水洗绒 化纤面料>>雪纺 化纤面料>>花瑶绉 化纤面料>>仿麻布 化纤面料>>色丁 化纤面料>>弹力绉 化纤面料>>醋酸面料 化纤面料>>条子布 化纤面料>>人比乔其 化纤面料>>人棉印花
里料;,化纤面料>>色丁 化纤面料>>羽绒服、棉服面料>>涤塔夫
化纤，里布,化纤面料>>春亚纺 化纤面料>>四面弹 化纤面料>>羽绒服、棉服面料类 化纤面料>>桃皮绒 化纤面料>>牛津纺 化纤面料>>塔丝绒 化纤面料>>水洗绒 化纤面料>>雪纺 化纤面料>>花瑶绉 化纤面料>>仿麻布 化纤面料>>色丁 化纤面料>>弹力绉 化纤面料>>醋酸面料 化纤面料>>条子布 化纤面料>>人比乔其 化纤面料>>人棉印花
染色、印花、,加工服务>>印染 加工服务>>印花
网布，经编,针织面料>>网布 蕾丝/绣品>>网布
纱网,蕾丝/绣品>>网纱 其他面料>>窗纱
箱包，五金,其他面料>>箱包、鞋材料>>箱包材料 辅料>>服装饰品
配件,辅料>>服装饰品
贝斯,皮革/皮草>>PU 皮革/皮草>>皮革
织带，双紧带,辅料>>织带 辅料>>松紧带
成品织带,辅料>>织带
高密仿真丝,化纤面料>>其他化纤面料>>仿真丝
箱包，织带,其他面料>>箱包、鞋材料>>箱包材料 辅料>>织带
标牌,辅料>>吊粒、吊牌>>吊牌
滴塑，烫金,加工服务>>烫金 加工服务>>滴塑
压金，金银粉,加工服务>>压花 加工服务>>压胶 加工服务>>烫金
洒金，洒片,加工服务>>烫金
平板布，楼梯布,针织面料>>平板布 针织面料>>双面布>>楼梯布
乱麻，罗纹布,化纤面料>>雪纺>>乱麻 针织面料>>罗纹
蕾丝，花边,蕾丝/绣品>>普通蕾丝 蕾丝/绣品>>花边 蕾丝/绣品>>网布 蕾丝/绣品>>水溶 蕾丝/绣品>>网纱 蕾丝/绣品>>锦棉蕾丝 蕾丝/绣品>>股线蕾丝 蕾丝/绣品>>睫毛蕾丝 蕾丝/绣品>>牛奶丝绣花 蕾丝/绣品>>蕾丝复合 蕾丝/绣品>>锦氨蕾丝 蕾丝/绣品>>流苏蕾丝 蕾丝/绣品>>满幅(幅花) 蕾丝/绣品>>涤光丝 蕾丝/绣品>>睫毛蕾丝 蕾丝/绣品>>蕾丝绣花
双面羊呢,呢料毛纺面料>>双面呢 呢料毛纺面料>>羊绒
大斜纹,棉类面料>>斜纹布
毛绒PU复合,皮革/皮草>>皮革>>皮革复合 皮革/皮草>>皮革>>植绒皮革
耐洗水.,无
多丽丝印花,化纤面料>>雪纺>>多丽丝
化纤，印花,化纤面料>>春亚纺 化纤面料>>四面弹 化纤面料>>羽绒服、棉服面料类 化纤面料>>桃皮绒 化纤面料>>牛津纺 化纤面料>>塔丝绒 化纤面料>>水洗绒 化纤面料>>雪纺 化纤面料>>花瑶绉 化纤面料>>仿麻布 化纤面料>>色丁 化纤面料>>弹力绉 化纤面料>>醋酸面料 化纤面料>>条子布 化纤面料>>人比乔其 化纤面料>>人棉印花
双面弹力,针织面料>>弹力布 棉类面料>>弹力布 麻类面料>>麻棉弹力 丝绸/真丝面料>>弹力缎 化纤面料>>四面弹
三明治，网布,针织面料>>三明治 针织面料>>网布 蕾丝/绣品>>网布
鞋材，箱包,其他面料>>箱包、鞋材料>>鞋材料 其他面料>>箱包、鞋材料>>箱包材料
鞋材，罗口,其他面料>>箱包、鞋材料>>鞋材料 针织面料>>罗纹>>横机罗纹
毛线鞋帮,其他面料>>箱包、鞋材料>>鞋材料
箱包，辅料,其他面料>>箱包、鞋材料>>箱包材料
拉链，拉头,辅料>>拉链 辅料>>拉链头
五金,辅料>>服装饰品
网纱等,蕾丝/绣品>>网纱
阳离子提花,针织面料>>弹力布>>阳离子拉架 化纤面料>>其他涤纶面料
金狐绒,针织面料>>卫衣布>>卫衣布 化纤面料>>其他涤纶面料 棉类面料>>棉类混纺
梭织提花剪花,棉类面料>>梭织提花 棉类面料>>其他棉纺>>剪花布
T恤配色领布,无
大提花,针织面料>>针织提花 棉类面料>>梭织提花
各类涤纶印花布,化纤面料>>功能布 化纤面料>>塔丝绒 化纤面料>>水洗绒 化纤面料>>雪纺 化纤面料>>花瑶绉 化纤面料>>仿麻布 化纤面料>>其他涤纶面料
韩彩呢,呢料毛纺面料>>羊绒 呢料毛纺面料>>圈圈呢
酒店布草,其他面料>>家纺
登山服面料,化纤面料>>其他化纤面料>>登山布
斜纹泡泡布,针织面料>>针织提花>>泡泡布 棉类面料>>其他棉纺>>泡泡布
各类毛绒,呢料毛纺面料>>绒布
尼龙亮光布,化纤面料>>其他尼龙面料
尼龙牛津布,化纤面料>>牛津纺>>牛津布
涤氨纶弹力印花布,针织面料>>汗布>>高弹尼龙氨纶汗布
梭织品,无
9040,无
金雕绒,呢料毛纺面料>>绒布>>金貂绒
锦纶四面弹复合,化纤面料>>其他化纤面料
人子麻,麻类面料>>其他麻纺面料
奥代尔,针织面料>>汗布>>奥代尔汗布 针织面料>>其他针织面料>>奥代尔针织
各种中高端绒布,呢料毛纺面料>>针织毛呢 呢料毛纺面料>>绒布
遮光窗帘,其他面料>>窗帘面料>>遮光布 其他面料>>窗帘面料>>半遮光
睫毛,蕾丝/绣品>>睫毛蕾丝
绉花缎,化纤面料>>色丁 化纤面料>>弹力绉 化纤面料>>雪纺 化纤面料>>人丝乔其 化纤面料>>人棉印花 化纤面料>>其他粘胶(人棉)面料 化纤面料>>其他化纤面料>>仿真丝
竹节丝弹力布,化纤面料>>其他涤纶面料
针织亮丝布,针织面料>>其他针织面料>>金银丝
弹力棉布,棉类面料>>弹力布
水溶花边,蕾丝/绣品>>花边 蕾丝/绣品>>水溶
棉线满幅,蕾丝/绣品>>满幅(幅花)
富贵纺,化纤面料>>其他尼龙面料
锦棉纬弹,化纤面料>>羽绒服、棉服面料
网纱烫金,蕾丝/绣品>>网纱
锦棉双层,化纤面料>>羽绒服、棉服面料
扎染,加工服务>>印染
色布定染,加工服务>>印染
水刺无纺布,其他面料>>无纺布
网眼太空层,针织面料>>空气层>>太空层
格子里布,化纤面料>>塔丝绒 化纤面料>>其他化纤面料>>美丽绸 化纤面料>>其他涤纶面料>>长丝
提花棉绸,化纤面料>>其他粘胶(人棉)面料
竹节棉,棉类面料>>棉布
全棉染色,棉类面料>>棉布
男女童套装料,无
全涤斜纹布,化纤面料>>其他涤纶面料
毛绒布,呢料毛纺面料>>绒布
真羊毛,呢料毛纺面料>>羊绒
窗帘,其他面料>>窗帘面料
沙丁布,化纤面料>>色丁
加捻针织乱麻,化纤面料>>雪纺>>乱麻
单线格,棉类面料>>格子布
锦涤磨丝,化纤面料>>桃皮绒 化纤面料>>色丁
绒感记忆布,化纤面料面料>>羽绒服、棉服面料
双线格,棉类面料>>格子布
锦纶布,化纤面料>>春亚纺 化纤面料>>四面弹 化纤面料>>羽绒服、棉服面料类 化纤面料>>桃皮绒 化纤面料>>牛津纺 化纤面料>>其他尼龙面料
泡泡纱印花,棉类面料>>其他棉纺>>棉泡纱 棉类面料>>其他棉纺>>泡泡布
自动间,棉类面料>>条子布 棉类面料>>衬衫布 化纤面料>>条子布 针织面料>>色织布
箱包面料,其他面料>>箱包、鞋材料>>箱包材料
高丽纱,化纤面料>>雪纺>>高丽纱
韩国斜,化纤面料>>雪纺>>佳丽斜
棉衣羽绒夹克系,化纤面料>>羽绒服、棉服面料
纯天丝天丝麻,化纤面料>>其他粘胶(人棉)面料 麻类面料>>麻料混纺
化纤,化纤面料>>春亚纺 化纤面料>>四面弹 化纤面料>>羽绒服、棉服面料类 化纤面料>>桃皮绒 化纤面料>>牛津纺 化纤面料>>塔丝绒 化纤面料>>水洗绒 化纤面料>>雪纺 化纤面料>>花瑶绉 化纤面料>>仿麻布 化纤面料>>色丁 化纤面料>>弹力绉 化纤面料>>醋酸面料 化纤面料>>条子布 化纤面料>>人比乔其 化纤面料>>人棉印花
双面尼,呢料毛纺面料>>双面呢
双层四面弹,化纤面料>>四面弹
泡泡麻,化纤面料>>雪纺
真丝麻印花,化纤面料>>雪纺
欧时立,无
羊绒呢,呢料毛纺面料>>羊绒
竹节面料,针织面料>>针织牛仔>>竹节牛仔 针织面料>>汗布>>竹节汗布 针织面料>>粗针>>粗针竹节 针织面料>>其他针织面料>>针织竹节
人丝涤粘,化纤面料>>人丝乔其 化纤面料>>其他粘胶(人棉)面料
莫代尔,针织面料>>汗布>>莫代尔汗布
欧丽丝,丝绸/真丝面料>>欧根纱
四面弹，牛奶丝,化纤面料>>四面弹 针织面料>>其他针织面料>>牛奶丝
真丝乔绒,丝绸/真丝面料>>丝绒
专营高档金丝绒,呢料毛纺面料>>绒布>>金丝绒
绒布印花,呢料毛纺面料>>绒布
细斜印花布,针织面料>>其他针织面料>>针织印花布 棉类面料>>梭织印花 麻类面料>>其他麻纺面料>>麻布印花
防静电布,其他面料>>特种面料>>抗静电布
牛仔洗水,针织面料>>针织牛仔 棉类面料>>牛仔布
玛海绒,呢料毛纺面料>>绒布>>仿羊绒 呢料毛纺面料>>绒布>>金貂绒
乐丽丝,化纤面料>>仿麻布
蕾丝刺毛,蕾丝/绣品>>蕾丝复合 蕾丝/绣品>>锦氨蕾丝
帽绳,辅料>>服装饰品 辅料>>钮扣
新型纤维产品,化纤面料>>其他化纤面料
针织双层布,针织面料>>空气层>>健康布
假毛,皮革/皮草>>人造毛
功能性面料,化纤面料>>功能布>>防晒 化纤面料>>功能布>>防水布 化纤面料>>其他化纤面料>>反光布 化纤面料>>其他化纤面料>>涂层布 其他面料>>特种面料>>涂层布 其他面料>>特种面料>>镭射面料 其他面料>>特种面料>>透明膜
针织复合布,针织面料>>其他针织面料>>针织复合面料
梭织复合布,棉类面料>>其他棉纺 蕾丝/绣品>>蕾丝复合
硅胶滴塑,加工服务>>滴塑
特宽滴塑,加工服务>>滴塑
防滑布料,加工服务>>滴塑
天丝系列环保,针织面料>>其他针织面料>>天丝棉 棉类面料>>其他棉纺>>仿天丝 化纤面料>>其他粘胶(人棉)面料
新款风衣系列,化纤面料>>其他化纤面料>>风衣面料
卷曲绒,呢料毛纺面料>>绒布>>气蒸绒 呢料毛纺面料>>绒布>>泰迪绒 呢料毛纺面料>>绒布>>仿羊绒 呢料毛纺面料>>绒布>>奥羊绒
雪丝绒,呢料毛纺面料>>绒布>>长毛绒
亚呢,无
烟花绒,呢料毛纺面料>>绒布>>长毛绒
羊羔毛大球,呢料毛纺面料>>绒布>>羊羔绒
羊羔毛中球,呢料毛纺面料>>绒布>>羊羔绒
羊剪绒,皮革/皮草>>人造毛>>皮毛一体 呢料毛纺面料>>绒布>>泰迪绒
针织拉绒,针织面料>>拉毛布>>拉毛布
针织牛百叶,针织面料>>其他针织面料
针织泡泡麻,化纤面料>>雪纺
单面顺毛,呢料毛纺面料>>顺毛呢
弹力牛津布,化纤面料>>牛津纺>>牛津布
防水牛津布,化纤面料>>牛津纺>>牛津布 化纤面料>>功能布>>防水布
防水透气面料,化纤面料>>功能布>>防水布 化纤面料>>牛津纺 棉类面料>>工装面料 化纤面料>>其他化纤面料>>冲锋衣面料 化纤面料>>其他化纤面料>>登山布
雪来呢,呢料毛纺面料>>其他呢料>>其他呢料
